date,strategy,zone,bias,opt,strike_type,entry_time,ep,xp,exit_reason,pnl,cam_level,touch_time,year
2021-05-03,v17a,s1_to_s2,bear,CE,ATM,09:16:02,141.6,216.85,eod,-5643.75,,,2021
2021-05-04,cam_l3,pdh_to_r1,bull,PE,ITM1,09:46:32,218.5,174.75,target,3281.25,14574.31,09:46:30,2021
2021-05-05,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,88.7,89.45,lockin_sl,-56.25,,,2021
2021-05-07,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,103.95,98.75,eod,390.0,,,2021
2021-05-14,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,215.45,172.05,target,3255.0,,,2021
2021-05-17,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,90.65,44.4,target,3468.75,,,2021
2021-05-18,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,116.65,56.3,target,4526.25,,,2021
2021-05-21,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,150.25,120.2,target,2253.75,,,2021
2021-05-26,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,111.8,88.55,target,1743.75,,,2021
2021-05-28,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,87.2,74.95,eod,918.75,,,2021
2021-05-31,v17a,within_cpr,bull,PE,ATM,09:20:02,119.05,83.3,target,2681.25,,,2021
2021-06-04,cam_l3,pdh_to_r1,bull,PE,ITM1,11:12:19,148.35,137.6,eod,806.25,15660.72,11:12:17,2021
2021-06-07,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,86.05,59.1,eod,2021.25,,,2021
2021-06-09,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,105.75,84.0,target,1631.25,,,2021
2021-06-11,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,86.25,86.45,lockin_sl,-15.0,,,2021
2021-06-18,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,96.5,194.25,hard_sl,-7331.25,,,2021
2021-06-21,cam_l3,pdl_to_bc,bear,PE,ITM1,12:34:58,84.45,67.2,target,1293.75,15639.53,12:34:56,2021
2021-06-25,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,96.45,66.5,eod,2246.25,,,2021
2021-06-30,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,84.95,67.6,target,1301.25,,,2021
2021-07-02,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,139.2,111.05,target,2111.25,,,2021
2021-07-06,cam_l3,within_cpr,bull,PE,ITM1,14:41:07,64.4,51.5,target,967.5,15818.68,14:41:05,2021
2021-07-16,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,110.65,114.4,eod,-281.25,,,2021
2021-07-19,v17a,below_s4,bear,CE,ITM1,09:16:02,147.75,118.1,target,2223.75,,,2021
2021-07-23,cam_l3,pdh_to_r1,bull,PE,ITM1,09:31:28,137.75,110.0,target,2081.25,15799.74,09:31:26,2021
2021-07-27,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,82.75,126.0,hard_sl,-3243.75,,,2021
2021-07-28,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,74.55,113.3,hard_sl,-2906.25,,,2021
2021-08-02,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,84.65,54.0,eod,2298.75,,,2021
2021-08-09,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,118.7,179.0,hard_sl,-4522.5,,,2021
2021-08-10,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,98.0,78.2,target,1485.0,,,2021
2021-08-16,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,93.8,74.35,target,1458.75,,,2021
2021-08-17,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,83.4,66.2,target,1290.0,,,2021
2021-08-24,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,111.15,88.4,target,1706.25,,,2021
2021-08-31,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,84.9,127.85,hard_sl,-3221.25,,,2021
2021-09-01,cam_l3,pdh_to_r1,bull,PE,ITM1,15:11:46,131.45,138.6,eod,-536.25,17065.0,15:11:44,2021
2021-09-07,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,147.0,117.0,target,2250.0,,,2021
2021-09-08,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,126.4,100.25,target,1961.25,,,2021
2021-09-13,v17a,within_cpr,bull,PE,ATM,09:20:02,102.8,71.35,target,2358.75,,,2021
2021-09-15,cam_h3,tc_to_pdh,bull,CE,OTM1,09:16:03,26.35,52.7,hard_sl,-1976.25,17401.56,09:16:01,2021
2021-09-17,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,90.7,72.8,lockin_sl,1342.5,,,2021
2021-09-21,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,154.65,122.55,target,2407.5,,,2021
2021-09-24,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,113.35,114.65,eod,-97.5,,,2021
2021-09-27,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,95.55,125.4,eod,-2238.75,,,2021
2021-09-28,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,154.55,232.0,hard_sl,-5808.75,,,2021
2021-10-06,cam_l3,pdh_to_r1,bull,PE,ITM1,10:20:25,145.95,116.75,target,2190.0,17775.35,10:20:23,2021
2021-10-08,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,117.45,117.6,lockin_sl,-11.25,,,2021
2021-10-18,v17a,r3_to_r4,bull,PE,ITM1,09:25:02,146.7,116.95,target,2231.25,,,2021
2021-10-19,v17a,r2_to_r3,bull,PE,ATM,09:20:02,111.4,88.0,target,1755.0,,,2021
2021-10-20,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,179.75,143.15,target,2745.0,,,2021
2021-10-22,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,164.45,131.0,target,2508.75,,,2021
2021-10-25,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,274.75,219.0,target,4181.25,,,2021
2021-10-26,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,101.0,80.65,target,1526.25,,,2021
2021-10-27,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,107.65,85.7,target,1646.25,,,2021
2021-11-01,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,108.8,109.75,lockin_sl,-71.25,,,2021
2021-11-02,cam_l3,pdh_to_r1,bear,PE,ITM1,10:39:05,154.6,123.1,target,2362.5,17875.53,10:39:03,2021
2021-11-08,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,103.1,48.7,target,4080.0,,,2021
